id,idEdificios,nombre,descripcion,ubicacion,aforo,numEnchufes,red,tieneProyector,tienePantallaMotorizada,tienePantallaManual,tieneSisAudio,tienePC,tieneMicIna,tieneMicAla,tieneRetroProy,tieneWifi
1;1;VC 0.1;d1;Irrelevant;5;50;1;1;0;1;0;1;0;1;0;0;
2;2;NoData;NoData;NoData;0;0;0;0;0;0;0;0;0;0;0;0;
3;3;BioChimeBioMol;d2;Irrelevant;38;3;2;1;0;0;0;1;0;1;1;1;
4;3;BioCelu;d3;Irrelevant;29;2;3;0;1;1;1;0;1;1;0;1;
5;3;BoteAmb;d4;Irrelevant;34;3;1;1;0;1;1;1;1;1;1;1;
6;3;Chimica;d5;Irrelevant;22;2;2;0;1;0;0;1;0;0;1;1;
7;3;MicroBio;d6;Irrelevant;38;3;3;0;0;0;1;1;0;1;0;1;
8;3;Micro1;d7;Irrelevant;24;2;1;1;0;0;0;1;1;0;1;1;
9;3;Micro2;d8;Irrelevant;30;3;2;0;0;1;1;1;1;0;0;0;
10;4;B-1.2;d9;Irrelevant;25;2;3;0;1;1;0;0;0;0;0;1;
11;4;B0.1;d10;Irrelevant;40;4;1;0;1;0;0;0;1;1;0;1;
12;4;B1.1;d11;Irrelevant;100;10;2;1;0;1;0;1;1;0;1;1;
13;4;AulaMagna;d12;Irrelevant;350;35;3;1;1;0;0;1;0;1;0;0;
14;5;A-1.1;d13;Irrelevant;40;4;1;1;0;0;0;0;1;0;1;0;
15;5;A0.1;d14;Irrelevant;40;4;2;0;0;1;0;0;0;1;1;0;
16;5;A1.1;d15;Irrelevant;40;4;3;1;0;1;1;0;1;0;0;0;
17;6;ACQ1;d16;Irrelevant;117;11;1;1;0;1;1;0;1;1;0;1;
18;6;ACQInformatic;d17;Irrelevant;17;1;2;1;1;1;0;0;0;0;0;0;
19;6;ACQMagna;d18;Irrelevant;228;22;3;0;1;1;1;0;0;1;0;0;
20;7;SalaRiunioni;d19;Irrelevant;18;1;1;1;1;1;1;1;1;0;0;0;
21;7;D2.29;d20;Irrelevant;225;22;2;0;1;0;0;0;1;1;0;0;
22;7;D4.4;d21;Irrelevant;145;14;3;0;0;1;1;0;0;0;1;0;
23;7;Aula3A;d22;Irrelevant;20;2;1;0;1;1;0;0;0;1;0;1;
24;7;Aula5B11;d23;Irrelevant;20;2;2;1;1;1;0;0;0;1;0;0;
25;7;AulaOratore;d24;Irrelevant;70;7;3;0;0;0;0;0;0;0;0;1;
26;7;AulaTomaseti;d25;Irrelevant;322;32;1;0;0;0;0;1;1;0;1;1;
27;7;AulaC2.4;d26;Irrelevant;44;4;2;1;1;1;0;0;1;1;1;0;
28;8;C1.16;d27;Copito2;46;4;3;0;0;0;1;0;1;0;0;0;
29;8;0.6;d28;Copito1;12;1;1;1;1;0;0;0;0;1;1;0;
30;8;BiancoFiore1.7;d29;Copito1;100;10;2;0;0;0;0;1;0;0;1;0;
31;8;2.5;d30;Copito1;100;10;3;0;1;0;0;1;0;0;0;1;
32;8;AulaRosa;d31;Copito1;100;10;1;1;0;1;1;1;1;1;1;0;
33;8;AulaA0.4;d32;Copito0;46;4;2;1;1;0;1;0;0;0;1;0;
34;9;Aula0.4;d33;Irrelevant;24;2;3;0;0;0;1;1;1;1;1;0;
35;9;Aula1.2;d34;Irrelevant;18;1;1;1;1;0;1;0;0;0;0;1;
36;9;AulaVerde;d35;Irrelevant;100;10;2;0;0;1;1;1;0;0;0;1;
37;10;0.A;d36;Irrelevant;150;15;3;1;0;1;1;1;1;0;1;0;
38;10;1.A;d37;Irrelevant;150;15;1;1;0;1;1;1;0;1;1;1;
39;10;2.A;d38;Irrelevant;100;10;2;1;0;1;1;0;0;0;0;0;
40;10;3.A;d39;Irrelevant;100;10;3;1;0;0;0;0;1;0;0;0;
41;10;4.A;d40;Irrelevant;100;10;1;0;0;0;0;1;0;1;0;1;
42;10;5.A;d41;Irrelevant;100;10;2;1;1;0;1;1;1;1;1;1;
43;11;AulaG;d42;Irrelevant;20;2;3;0;0;1;0;0;1;0;1;1;
44;11;D1.13;d43;Irrelevant;50;5;1;1;1;0;0;1;1;0;1;0;
45;11;D2.22;d44;Irrelevant;30;3;2;0;0;0;0;1;0;1;1;0;
46;11;D4.2;d45;Irrelevant;145;14;3;0;0;1;0;0;0;0;0;0;
47;12;Sem;d46;Irrelevant;1;0;1;1;1;0;1;0;1;0;1;0;
48;12;Tem;d47;Irrelevant;1;0;2;0;1;0;1;0;1;1;0;0;
49;12;Fluorescenza;d48;Irrelevant;1;0;3;0;0;1;1;0;0;0;0;0;
50;12;Ftir;d49;Irrelevant;1;0;1;1;0;0;0;1;0;0;0;1;
